COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1332-4228,203.104233,-42.4738,0.999972,3.7816000000000005e-07,6.91291e-07,115000.0,22.0,57138.20864085,57138.21905753,ivo://eso.org/origfile?HARPS.2015-04-26T05:00:26.569_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-26T23:55:38.173&eso_download=file,ADP.2015-04-26T23:55:38.173
HARPS,SW1332-4228,203.105071,-42.4738,0.999972,3.78167e-07,6.91293e-07,115000.0,26.0,57135.23370044,57135.2441171,ivo://eso.org/origfile?HARPS.2015-04-23T05:36:31.718_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-27T08:05:48.190&eso_download=file,ADP.2015-04-27T08:05:48.190
HARPS,SW1332-4228,203.104983,-42.47469,0.999972,3.7815699999999996e-07,6.91288e-07,115000.0,23.5,57140.18251488,57140.18945933,ivo://eso.org/origfile?HARPS.2015-04-28T04:22:49.286_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:22.990&eso_download=file,ADP.2015-04-29T06:13:22.990
HARPS,SW1332-4228,203.104993,-42.47437,0.999972,3.7815699999999996e-07,6.91288e-07,115000.0,13.8,57140.22640699,57140.23335144,ivo://eso.org/origfile?HARPS.2015-04-28T05:26:01.564_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.030&eso_download=file,ADP.2015-04-29T06:13:23.030
HARPS,SW1332-4228,203.105076,-42.47422,0.999972,3.78159e-07,6.91288e-07,115000.0,19.1,57140.21908838,57140.22603283,ivo://eso.org/origfile?HARPS.2015-04-28T05:15:29.236_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.067&eso_download=file,ADP.2015-04-29T06:13:23.067
HARPS,SW1332-4228,203.10513,-42.47415,0.999972,3.78159e-07,6.91288e-07,115000.0,16.7,57140.21177833,57140.21872279,ivo://eso.org/origfile?HARPS.2015-04-28T05:04:57.648_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.220&eso_download=file,ADP.2015-04-29T06:13:23.220
HARPS,SW1332-4228,203.105016,-42.47455,0.999972,3.78158e-07,6.91288e-07,115000.0,21.9,57140.18983372,57140.19677817,ivo://eso.org/origfile?HARPS.2015-04-28T04:33:21.633_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.233&eso_download=file,ADP.2015-04-29T06:13:23.233
HARPS,SW1332-4228,203.104463,-42.4744,0.999972,3.78158e-07,6.91287e-07,115000.0,14.1,57140.23372283,57140.24066727,ivo://eso.org/origfile?HARPS.2015-04-28T05:36:33.653_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.307&eso_download=file,ADP.2015-04-29T06:13:23.307
HARPS,SW1332-4228,203.104288,-42.47458,0.999972,3.7815699999999996e-07,6.91287e-07,115000.0,15.9,57140.24103137,57140.24797582,ivo://eso.org/origfile?HARPS.2015-04-28T05:47:05.110_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.347&eso_download=file,ADP.2015-04-29T06:13:23.347
HARPS,SW1332-4228,203.105187,-42.47417,0.999972,3.7815699999999996e-07,6.91288e-07,115000.0,21.2,57140.20446331,57140.21140776,ivo://eso.org/origfile?HARPS.2015-04-28T04:54:25.630_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-29T06:13:23.733&eso_download=file,ADP.2015-04-29T06:13:23.733
