COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1301-2731,195.36436,-27.52094,0.999972,3.7816000000000005e-07,6.91292e-07,115000.0,11.8,55297.13595209,55297.14058173,ivo://eso.org/origfile?HARPS.2010-04-11T03:15:46.261_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:09.353&eso_download=file,ADP.2014-09-24T09:41:09.353
HARPS,SW1301-2731,195.36487,-27.52154,0.999972,3.78161e-07,6.91292e-07,115000.0,9.1,55297.1159448,55297.1205745,ivo://eso.org/origfile?HARPS.2010-04-11T02:46:57.631_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:11.263&eso_download=file,ADP.2014-09-24T09:41:11.263
HARPS,SW1301-2731,195.35874,-27.5219,0.999972,3.78165e-07,6.91293e-07,115000.0,10.3,55297.02593949,55297.0305692,ivo://eso.org/origfile?HARPS.2010-04-11T00:37:21.172_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:17.123&eso_download=file,ADP.2014-09-24T09:41:17.123
HARPS,SW1301-2731,195.36532,-27.52163,0.999972,3.7816000000000005e-07,6.91292e-07,115000.0,9.1,55297.10093988,55297.1055696,ivo://eso.org/origfile?HARPS.2010-04-11T02:25:21.206_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:19.853&eso_download=file,ADP.2014-09-24T09:41:19.853
HARPS,SW1301-2731,195.36469,-27.52138,0.999972,3.7816000000000005e-07,6.91292e-07,115000.0,10.1,55297.12094439,55297.1255741,ivo://eso.org/origfile?HARPS.2010-04-11T02:54:09.595_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:20.170&eso_download=file,ADP.2014-09-24T09:41:20.170
HARPS,SW1301-2731,195.35814,-27.52249,0.999972,3.7816000000000005e-07,6.91293e-07,115000.0,11.4,55297.01594563,55297.02057535,ivo://eso.org/origfile?HARPS.2010-04-11T00:22:57.702_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:22.237&eso_download=file,ADP.2014-09-24T09:41:22.237
HARPS,SW1301-2731,195.36509,-27.52369,0.999972,3.78122e-07,6.912350000000001e-07,115000.0,17.0,55433.97259024,55433.98300691,ivo://eso.org/origfile?HARPS.2010-08-25T23:20:31.797_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:24.763&eso_download=file,ADP.2014-09-24T09:41:24.763
HARPS,SW1301-2731,195.36452,-27.52013,0.999972,3.78159e-07,6.91292e-07,115000.0,13.4,55297.19595104,55297.20058075,ivo://eso.org/origfile?HARPS.2010-04-11T04:42:10.170_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:28.000&eso_download=file,ADP.2014-09-24T09:41:28.000
HARPS,SW1301-2731,195.36437,-27.52079,0.999972,3.78162e-07,6.91292e-07,115000.0,11.9,55297.14095631,55297.14558602,ivo://eso.org/origfile?HARPS.2010-04-11T03:22:58.625_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:40.430&eso_download=file,ADP.2014-09-24T09:41:40.430
HARPS,SW1301-2731,195.35764,-27.52283,0.999972,3.78161e-07,6.91293e-07,115000.0,10.8,55297.01093445,55297.01556416,ivo://eso.org/origfile?HARPS.2010-04-11T00:15:44.736_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:46.220&eso_download=file,ADP.2014-09-24T09:41:46.220
HARPS,SW1301-2731,195.36317,-27.51988,0.999972,3.7816000000000005e-07,6.91291e-07,115000.0,27.9,55298.2036028,55298.21749176,ivo://eso.org/origfile?HARPS.2010-04-12T04:53:11.282_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:49.797&eso_download=file,ADP.2014-09-24T09:41:49.797
HARPS,SW1301-2731,195.36568,-27.52102,0.999972,3.7816000000000005e-07,6.91293e-07,115000.0,10.1,55297.06593948,55297.07056912,ivo://eso.org/origfile?HARPS.2010-04-11T01:34:57.171_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:55.303&eso_download=file,ADP.2014-09-24T09:41:55.303
HARPS,SW1301-2731,195.35578,-27.52444,0.999972,3.7816000000000005e-07,6.91293e-07,115000.0,18.8,55296.99390374,55297.00779271,ivo://eso.org/origfile?HARPS.2010-04-10T23:51:13.283_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:57.013&eso_download=file,ADP.2014-09-24T09:41:57.013
HARPS,SW1301-2731,195.36417,-27.52055,0.999972,3.78159e-07,6.91292e-07,115000.0,13.3,55297.21595138,55297.22058108,ivo://eso.org/origfile?HARPS.2010-04-11T05:10:58.199_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:59.697&eso_download=file,ADP.2014-09-24T09:41:59.697
