TESS Mag,TIC ID,TOI,Depth (mmag),Planet Radius (R_Earth),Period (days),Stellar Radius (R_Sun),Stellar Eff Temp (K)
6.953410099999999,279741379,186.01,1.009393,2.556572,,0.73907697,4628.5298
7.309,55092869,664.01,2.647894,13.692776,4.7360940000000005,3.0667901,5326.0
7.652,143350972,440.01,0.37087800000000004,2.07554,1.0817,1.1083399999999999,5771.46
7.770999900000001,410214986,200.01,3.8895510000000004,7.78,8.1375,1.1934799999999999,5414.0
7.9650002,167415965,214.01,0.48173299999999997,1.9829740000000002,18.552747,0.90006399,5346.1699
8.113400500000001,31374837,431.01,2.227239,3.8678199999999996,12.45941,0.80249298,4891.0
8.1409998,207141131,179.01,1.232507,2.813921,4.1373940000000005,0.83894902,5058.0
8.265089999999999,120896927,402.01,0.441054,1.8990790000000002,4.755833,0.88766497,5175.2002
8.429280300000002,37749396,260.01,0.745653,1.637881,13.470018,0.63158703,4111.0
8.5323896,101011575,560.01,1.947068,2.847985,6.397438,0.66520798,4695.0
8.6400003,98796344,455.01,2.715648,1.368307,5.358807,0.35699999,3562.0
8.696869900000001,425997655,174.01,0.741266,1.988593,17.668189,0.73439199,4813.0
8.718999900000002,33692729,469.01,1.3120530000000001,3.685246,13.632935,0.9884780000000001,6114.0
8.8180304,4646810,461.01,0.982821,2.56584,14.490034,0.781407,4884.0
8.833000199999999,100100827,185.01,11.672255,12.97984,0.941449,1.40753,6226.0
8.8450003,408310006,576.01,3.299872,7.2421690000000005,5.443936,1.26826,6313.0
8.923000300000002,166836920,267.01,5.8642959999999995,13.179698000000002,5.75244,1.75053,5905.0
9.109000199999999,183532609,191.01,16.999822,12.359505,8.159165,1.02358,5589.0
9.26511,322063810,253.01,0.335757,1.1255709999999999,3.5158160000000005,0.64745998,4020.0
9.2950001,62483237,139.01,1.48535,2.687866,11.058421000000001,0.7384189999999999,4356.0
9.342,260708537,486.01,0.208708,0.60546,1.74406,0.45199999,3445.0
9.501999900000001,1129033,398.01,17.932313,12.20825,1.360025,0.92774701,5605.0
9.6169996,169226822,675.01,12.826132000000001,15.288753,4.178161,1.59884,5500.6001
9.632,166739520,190.01,9.00203,10.928113,10.020817,1.27841,5984.8999
9.6750002,170634116,413.01,13.608844,17.912843,3.662382,1.50825,7002.0
9.7159996,149603524,102.01,14.392270000000002,16.3878,4.4121,1.15229,6391.0
9.776,47911178,471.01,13.460501,15.523709,3.5856169999999996,1.3412499,6820.0
9.852999699999998,12421862,198.01,1.312001,1.5624930000000001,20.427265,0.44400001,3763.0
10.089,260004324,704.01,0.516731,1.116355,3.81426,0.486,3625.0
10.141,422655579,388.01,5.069039,15.617080999999999,2.903458,1.92238,6180.0
10.195,183537452,192.01,12.560808,8.569172,3.922743,0.59463102,5203.0
10.211,211438925,194.01,11.297930000000001,15.126432000000001,4.899379,1.5037,5775.7002
10.937999999999999,101955023,667.01,3.098811,1.402261,1.628694,0.21699999,3216.0
10.955,53189332,660.01,6.757246,11.115877000000001,9.290298,1.45865,6461.0
10.972999999999999,9725627,239.01,5.28028,6.374038,4.15701,0.89503098,6362.5
11.008,382391899,391.01,21.983399,12.826544,1.95512,1.04568,5518.0
11.015999999999998,36734222,656.01,29.525002,10.423753,0.81347,,4187.0
11.164000000000001,257567854,403.01,12.320677,13.474905,3.532822,1.0641201,6153.0
11.192,158623531,246.01,16.266737,10.907297999999999,7.872846000000001,0.87946802,5086.0
11.238,92226327,256.01,4.448487,1.369367,24.73712,0.23199999,3182.0
11.394,437248515,683.01,17.104169,17.032248000000003,3.4059230000000005,1.45182,6217.0
11.409,204376737,231.01,26.621781,13.443309,3.361021,0.89695799,5380.7202
11.545,35516889,655.01,27.223514,16.546514000000002,0.7888430000000001,0.9838629999999999,5503.0
11.668,13021029,439.01,9.042834,13.2686,3.85605,1.4461499,6239.0
11.765,139528693,449.01,7.477367999999999,18.3116,2.17542,1.48595,6291.0
11.777999999999999,402026209,232.01,30.205233000000003,15.284003,1.338231,0.94953698,5504.0
12.149000000000001,13349647,567.01,21.192094,14.5994,1.537368,0.94982702,5928.0
