COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS700-026,198.130542,-45.59067,0.999972,3.78166e-07,6.91305e-07,115000.0,8.3,57120.20712853,57120.22101742,ivo://eso.org/origfile?HARPS.2015-04-08T04:58:15.905_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:55.670&eso_download=file,ADP.2015-04-15T08:03:55.670
HARPS,HATS700-026,198.131814,-45.59021,0.999972,3.7817e-07,6.91306e-07,115000.0,5.7,57118.23580269,57118.24969159,ivo://eso.org/origfile?HARPS.2015-04-06T05:39:33.352_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:52.890&eso_download=file,ADP.2015-04-15T08:03:52.890
HARPS,HATS700-026,198.131139,-45.58966,0.999972,3.78166e-07,6.91305e-07,115000.0,4.5,57119.24416571,57119.25458238,ivo://eso.org/origfile?HARPS.2015-04-07T05:51:35.917_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:54.543&eso_download=file,ADP.2015-04-15T08:03:54.543
