Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Explore data (GLS),Data products (dat),Data products (csv),RA_deg,DEC_deg
BD+012494,10:52:07.7793,+00:29:36.081,G7IV-V,5287.7,11.56,10.64,10.46,214.95,GLS of RVs | Inspect data,BD+012494_HARPS_RVBank_ver02.dat,BD+012494_HARPS_RVBank_ver02.csv,163.03241375,0.4933558333333333
BD+01316,01:46:31.8575,+02:42:02.030,F7,6114.7,10.13,9.52,9.415,189.04,GLS of RVs | Inspect data,BD+01316_HARPS_RVBank_ver02.dat,BD+01316_HARPS_RVBank_ver02.csv,26.63273958333333,2.700563888888889
BD+034525,21:13:53.5705,+04:27:12.444,G0,5537.0,11.59,11.06,10.886,255.65,GLS of RVs | Inspect data,BD+034525_HARPS_RVBank_ver02.dat,BD+034525_HARPS_RVBank_ver02.csv,318.4732104166666,4.453456666666667
BD+053805,18:35:47.4314,+05:20:17.105,G8,4561.6,10.57,9.54,9.099,473.01,GLS of RVs | Inspect data,BD+053805_HARPS_RVBank_ver02.dat,BD+053805_HARPS_RVBank_ver02.csv,278.9476308333333,5.338084722222222
BD+053818,18:36:33.2283,+05:12:42.780,K0,4190.2,10.28,9.01,8.491,485.41,GLS of RVs | Inspect data,BD+053818_HARPS_RVBank_ver02.dat,BD+053818_HARPS_RVBank_ver02.csv,279.13845124999995,5.211883333333334
BD+053820,18:36:37.8612,+05:08:10.193,K0,4594.3,10.53,9.51,9.099,477.76,GLS of RVs | Inspect data,BD+053820_HARPS_RVBank_ver02.dat,BD+053820_HARPS_RVBank_ver02.csv,279.157755,5.136164722222222
BD+053829,18:37:05.2144,+05:17:31.621,G5,4872.9,10.93,9.83,9.41,473.6,GLS of RVs | Inspect data,BD+053829_HARPS_RVBank_ver02.dat,BD+053829_HARPS_RVBank_ver02.csv,279.27172666666667,5.2921169444444445
BD+053833,18:37:20.7739,+05:53:43.109,G0,4991.0,10.43,9.46,9.169,465.35,GLS of RVs | Inspect data,BD+053833_HARPS_RVBank_ver02.dat,BD+053833_HARPS_RVBank_ver02.csv,279.3365579166666,5.895308055555555
BD+053835,18:37:30.2982,+05:12:15.715,G5,4728.8,10.85,9.77,9.435,474.74,GLS of RVs | Inspect data,BD+053835_HARPS_RVBank_ver02.dat,BD+053835_HARPS_RVBank_ver02.csv,279.3762425,5.204365277777778
BD+053839,18:37:34.2155,+05:28:33.420,,4747.9,10.5,9.46,9.06,464.1,GLS of RVs | Inspect data,BD+053839_HARPS_RVBank_ver02.dat,BD+053839_HARPS_RVBank_ver02.csv,279.3925645833333,5.47595
BD+053840,18:37:35.8279,+05:15:37.811,K2,4212.3,9.43,8.06,7.519,477.03,GLS of RVs | Inspect data,BD+053840_HARPS_RVBank_ver02.dat,BD+053840_HARPS_RVBank_ver02.csv,279.39928291666666,5.260503055555556
BD+053858,18:38:20.7633,+05:26:02.301,,4948.8,10.46,9.46,9.064,511.06,GLS of RVs | Inspect data,BD+053858_HARPS_RVBank_ver02.dat,BD+053858_HARPS_RVBank_ver02.csv,279.58651375,5.4339725
BD+053868,18:38:43.7886,+05:14:19.935,G,4715.1,10.38,9.36,9.055,468.3,GLS of RVs | Inspect data,BD+053868_HARPS_RVBank_ver02.dat,BD+053868_HARPS_RVBank_ver02.csv,279.68245249999995,5.238870833333333
BD+053882,18:39:17.8751,+05:13:48.737,G0,4773.8,10.37,9.36,9.003,464.96,GLS of RVs | Inspect data,BD+053882_HARPS_RVBank_ver02.dat,BD+053882_HARPS_RVBank_ver02.csv,279.82447958333324,5.230204722222222
BD+053906,18:40:18.5164,+05:18:51.727,G5,4689.8,10.35,9.27,8.902,470.57,GLS of RVs | Inspect data,BD+053906_HARPS_RVBank_ver02.dat,BD+053906_HARPS_RVBank_ver02.csv,280.0771516666667,5.314368611111111
BD+062168,09:24:25.9061,+05:45:58.477,G0,5802.1,10.82,10.31,10.168,204.26,GLS of RVs | Inspect data,BD+062168_HARPS_RVBank_ver02.dat,BD+062168_HARPS_RVBank_ver02.csv,141.1079420833333,5.766243611111111
BD+062932A,14:43:17.9691,+05:49:39.761,G6V,,11.33,10.51,10.288,80.76,GLS of RVs | Inspect data,BD+062932A_HARPS_RVBank_ver02.dat,BD+062932A_HARPS_RVBank_ver02.csv,220.82487124999997,5.827711388888889
BD+063796,18:28:17.6377,+06:46:00.033,G6IIIbFe-1,4961.4,9.96,8.98,8.641,392.34,GLS of RVs | Inspect data,BD+063796_HARPS_RVBank_ver02.dat,BD+063796_HARPS_RVBank_ver02.csv,277.07349041666663,6.766675833333333
BD+072351,10:44:37.6007,+06:20:00.853,G5,5270.7,10.72,9.83,9.652,66.04,GLS of RVs | Inspect data,BD+072351_HARPS_RVBank_ver02.dat,BD+072351_HARPS_RVBank_ver02.csv,161.1566695833333,6.333570277777778
BD+072474,11:43:38.0162,+06:33:49.419,G5,5339.0,11.15,10.41,,,GLS of RVs | Inspect data,BD+072474_HARPS_RVBank_ver02.dat,BD+072474_HARPS_RVBank_ver02.csv,175.9084008333333,6.5637275
BD+081767,07:26:04.0209,+07:47:12.289,G0,5627.5,10.2,9.63,9.524,,GLS of RVs | Inspect data,BD+081767_HARPS_RVBank_ver02.dat,BD+081767_HARPS_RVBank_ver02.csv,111.51675374999999,7.786746944444444
BD+084055,19:21:42.1373,+09:11:43.580,G,5778.0,10.45,9.88,9.769,118.7,GLS of RVs | Inspect data,BD+084055_HARPS_RVBank_ver02.dat,BD+084055_HARPS_RVBank_ver02.csv,290.42557208333335,9.195438888888889
BD+084056,19:21:42.8102,+09:11:12.011,G,5861.5,10.82,10.41,10.271,616.79,GLS of RVs | Inspect data,BD+084056_HARPS_RVBank_ver02.dat,BD+084056_HARPS_RVBank_ver02.csv,290.42837583333335,9.186669722222222
BD+10125,01:05:50.9463,+11:45:12.339,G0,5902.7,10.04,9.54,9.366,99.58,GLS of RVs | Inspect data,BD+10125_HARPS_RVBank_ver02.dat,BD+10125_HARPS_RVBank_ver02.csv,16.462276249999995,11.7534275
BD+101799,08:26:27.8490,+10:04:49.334,F6,6169.0,9.42,8.92,8.819,105.98,GLS of RVs | Inspect data,BD+101799_HARPS_RVBank_ver02.dat,BD+101799_HARPS_RVBank_ver02.csv,126.61603749999999,10.080370555555556
BD+101802,08:27:35.5567,+10:30:23.563,M0III,4228.5,11.43,9.95,9.259,1394.31,GLS of RVs | Inspect data,BD+101802_HARPS_RVBank_ver02.dat,BD+101802_HARPS_RVBank_ver02.csv,126.89815291666665,10.506545277777779
BD+11359,02:36:30.7239,+12:08:32.566,F8,6110.0,10.29,9.76,9.627,250.16,GLS of RVs | Inspect data,BD+11359_HARPS_RVBank_ver02.dat,BD+11359_HARPS_RVBank_ver02.csv,39.128016249999995,12.142379444444444
BD+144559,21:13:35.9901,+14:41:21.785,K5,4869.2,,,9.359,49.3,GLS of RVs | Inspect data,BD+144559_HARPS_RVBank_ver02.dat,BD+144559_HARPS_RVBank_ver02.csv,318.39995874999994,14.689384722222222
BD+171832,08:23:58.3226,+17:06:50.678,A2,8149.0,9.79,9.61,9.53,393.08,GLS of RVs | Inspect data,BD+171832_HARPS_RVBank_ver02.dat,BD+171832_HARPS_RVBank_ver02.csv,125.99301083333332,17.114077222222225
BD+17601B,03:39:34.9301,+18:18:51.645,M1.8,,14.1,,11.767,36.18,GLS of RVs | Inspect data,BD+17601B_HARPS_RVBank_ver02.dat,BD+17601B_HARPS_RVBank_ver02.csv,54.895542083333325,18.314345833333334
BD+20594,03:34:36.2293,+20:35:57.269,F9,5456.8,11.77,10.85,10.867,177.35,GLS of RVs | Inspect data,BD+20594_HARPS_RVBank_ver02.dat,BD+20594_HARPS_RVBank_ver02.csv,53.650955416666655,20.59924138888889
BD+22353B,02:29:07.0137,+22:52:01.453,K7Ve,,12.1,11.29,10.673,51.28,GLS of RVs | Inspect data,BD+22353B_HARPS_RVBank_ver02.dat,BD+22353B_HARPS_RVBank_ver02.csv,37.27922374999999,22.867070277777778
BD+22574,03:49:56.4960,+23:13:07.044,F8,5848.7,10.79,10.2,10.139,146.5,GLS of RVs | Inspect data,BD+22574_HARPS_RVBank_ver02.dat,BD+22574_HARPS_RVBank_ver02.csv,57.485399999999984,23.218623333333333
BD+23527,03:46:53.7464,+23:35:00.796,G0V,5642.8,11.1,10.6,10.388,133.38,GLS of RVs | Inspect data,BD+23527_HARPS_RVBank_ver02.dat,BD+23527_HARPS_RVBank_ver02.csv,56.72394333333333,23.58355444444444
BD+25610,03:45:45.1243,+25:35:44.858,G0,,10.58,9.99,9.988,156.29,GLS of RVs | Inspect data,BD+25610_HARPS_RVBank_ver02.dat,BD+25610_HARPS_RVBank_ver02.csv,56.43801791666666,25.59579388888889
BD-011951,08:06:07.2119,-02:15:37.510,G5,5189.3,10.72,9.99,9.81,276.95,GLS of RVs | Inspect data,BD-011951_HARPS_RVBank_ver02.dat,BD-011951_HARPS_RVBank_ver02.csv,121.53004958333332,-2.2604194444444445
