Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Explore data (GLS),Data products (dat),Data products (csv),RA_deg,DEC_deg
BD-013943,20:18:09.3209,-01:04:32.609,F9,5604.0,10.39,9.75,9.578,149.48,GLS of RVs | Inspect data,BD-013943_HARPS_RVBank_ver02.dat,BD-013943_HARPS_RVBank_ver02.csv,304.5388370833333,-1.0757247222222222
BD-02146,01:02:10.3050,-02:08:40.299,,6182.8,11.673,11.148,11.031,293.9,GLS of RVs | Inspect data,BD-02146_HARPS_RVBank_ver02.dat,BD-02146_HARPS_RVBank_ver02.csv,15.542937499999999,-2.1445275
BD-022880,09:25:53.8700,-03:18:18.990,,5927.6,10.984,10.415,10.282,217.25,GLS of RVs | Inspect data,BD-022880_HARPS_RVBank_ver02.dat,BD-022880_HARPS_RVBank_ver02.csv,141.4744583333333,-3.305275
BD-043206,12:06:20.8405,-04:54:50.435,,,11.306,10.793,10.65,304.39,GLS of RVs | Inspect data,BD-043206_HARPS_RVBank_ver02.dat,BD-043206_HARPS_RVBank_ver02.csv,181.58683541666664,-4.9140097222222225
BD-043588,13:55:05.7031,-05:26:32.949,F7,5993.3,11.75,11.15,10.949,517.6,GLS of RVs | Inspect data,BD-043588_HARPS_RVBank_ver02.dat,BD-043588_HARPS_RVBank_ver02.csv,208.7737629166666,-5.4424858333333335
BD-053461,12:15:48.4848,-06:24:11.089,,5756.0,11.15,10.42,10.304,359.94,GLS of RVs | Inspect data,BD-053461_HARPS_RVBank_ver02.dat,BD-053461_HARPS_RVBank_ver02.csv,183.95201999999998,-6.403080277777778
BD-053763,13:47:23.4438,-06:08:12.729,K3.5V,,11.3,10.28,9.901,44.53,GLS of RVs | Inspect data,BD-053763_HARPS_RVBank_ver02.dat,BD-053763_HARPS_RVBank_ver02.csv,206.8476825,-6.136869166666667
BD-055432,21:00:06.1968,-05:05:40.034,,4875.2,10.93,9.87,9.492,50.29,GLS of RVs | Inspect data,BD-055432_HARPS_RVBank_ver02.dat,BD-055432_HARPS_RVBank_ver02.csv,315.02581999999995,-5.094453888888888
BD-061006,04:51:19.1195,-05:49:35.112,,3362.3,11.1,9.65,7.973,1032.2,GLS of RVs | Inspect data,BD-061006_HARPS_RVBank_ver02.dat,BD-061006_HARPS_RVBank_ver02.csv,72.82966458333333,-5.82642
BD-073537,13:04:05.9883,-08:04:27.843,,5637.1,11.16,10.56,10.333,229.31,GLS of RVs | Inspect data,BD-073537_HARPS_RVBank_ver02.dat,BD-073537_HARPS_RVBank_ver02.csv,196.02495124999996,-8.074400833333334
BD-07436B,02:28:37.3243,-07:03:41.283,K5,,,13.4,11.829,105.17,GLS of RVs | Inspect data,BD-07436B_HARPS_RVBank_ver02.dat,BD-07436B_HARPS_RVBank_ver02.csv,37.15551791666667,-7.0614675
BD-07436,02:28:37.226,-07:03:38.39,G9,5556.0,10.87,10.12,,,GLS of RVs | Inspect data,BD-07436_HARPS_RVBank_ver02.dat,BD-07436_HARPS_RVBank_ver02.csv,37.15510833333333,-7.060663888888889
BD-081175,05:36:55.8246,-08:47:57.572,,5858.8,10.9,10.2,10.119,156.42,GLS of RVs | Inspect data,BD-081175_HARPS_RVBank_ver02.dat,BD-081175_HARPS_RVBank_ver02.csv,84.23260249999998,-8.799325555555555
BD-093064,10:24:17.8664,-09:51:37.772,F8,5754.4,10.51,9.89,9.726,245.63,GLS of RVs | Inspect data,BD-093064_HARPS_RVBank_ver02.dat,BD-093064_HARPS_RVBank_ver02.csv,156.0744433333333,-9.860492222222222
BD-096003,22:33:28.4132,-09:01:21.975,,4860.0,11.915,10.872,10.596,307.67,GLS of RVs | Inspect data,BD-096003_HARPS_RVBank_ver02.dat,BD-096003_HARPS_RVBank_ver02.csv,338.3683883333333,-9.022770833333334
BD-096325,00:06:59.4579,-08:46:38.488,,3517.7,10.96,9.53,8.328,1183.15,GLS of RVs | Inspect data,BD-096325_HARPS_RVBank_ver02.dat,BD-096325_HARPS_RVBank_ver02.csv,1.7477412499999998,-8.777357777777778
BD-101177,05:24:21.8241,-10:20:47.319,M6,3306.0,10.5,9.03,7.282,537.2,GLS of RVs | Inspect data,BD-101177_HARPS_RVBank_ver02.dat,BD-101177_HARPS_RVBank_ver02.csv,81.09093375,-10.3464775
BD-114672,18:33:28.8321,-11:38:09.721,K7V,,11.21,9.99,9.488,27.21,GLS of RVs | Inspect data,BD-114672_HARPS_RVBank_ver02.dat,BD-114672_HARPS_RVBank_ver02.csv,278.37013375,-11.636033611111111
BD-114934A,19:17:23.6590,-11:34:03.017,G0,,10.99,10.47,10.169,313.55,GLS of RVs | Inspect data,BD-114934A_HARPS_RVBank_ver02.dat,BD-114934A_HARPS_RVBank_ver02.csv,289.3485791666667,-11.567504722222221
BD-114934B,19:17:25.0517,-11:34:10.284,G0,5433.2,10.85,10.16,10.024,143.18,GLS of RVs | Inspect data,BD-114934B_HARPS_RVBank_ver02.dat,BD-114934B_HARPS_RVBank_ver02.csv,289.35438208333335,-11.569523333333333
BD-122361,08:09:47.8146,-12:54:14.005,,4839.0,11.44,10.44,10.205,860.81,GLS of RVs | Inspect data,BD-122361_HARPS_RVBank_ver02.dat,BD-122361_HARPS_RVBank_ver02.csv,122.4492275,-12.903890277777778
BD-122371,08:10:15.1831,-12:50:41.107,,5014.9,11.64,10.65,10.418,1276.49,GLS of RVs | Inspect data,BD-122371_HARPS_RVBank_ver02.dat,BD-122371_HARPS_RVBank_ver02.csv,122.56326291666664,-12.844751944444445
BD-12588,03:04:12.9813,-12:22:17.561,,4838.6,11.14,10.07,9.954,708.72,GLS of RVs | Inspect data,BD-12588_HARPS_RVBank_ver02.dat,BD-12588_HARPS_RVBank_ver02.csv,46.05408875,-12.371544722222223
BD-132130,07:37:09.2332,-13:54:23.956,G5IV-V/K2III,4572.3,11.31,10.04,9.704,930.58,GLS of RVs | Inspect data,BD-132130_HARPS_RVBank_ver02.dat,BD-132130_HARPS_RVBank_ver02.csv,114.28847166666667,-13.906654444444445
BD-136424,23:32:30.8611,-12:15:51.462,M0Ve,4058.7,12.38,10.639,9.827,27.45,GLS of RVs | Inspect data,BD-136424_HARPS_RVBank_ver02.dat,BD-136424_HARPS_RVBank_ver02.csv,353.1285879166666,-12.264295
BD-141137,05:27:24.8258,-14:16:37.046,G9V,5272.3,10.73,9.93,9.783,75.0,GLS of RVs | Inspect data,BD-141137_HARPS_RVBank_ver02.dat,BD-141137_HARPS_RVBank_ver02.csv,81.85344083333334,-14.276957222222222
BD-156276,22:48:07.5636,-14:29:40.842,?+M4-7,5390.0,11.97,11.19,10.929,139.76,GLS of RVs | Inspect data,BD-156276_HARPS_RVBank_ver02.dat,BD-156276_HARPS_RVBank_ver02.csv,342.03151499999996,-14.494678333333333
BD-15705,04:02:16.4849,-15:21:29.807,K3/4,4881.6,11.19,10.024,9.766,54.7,GLS of RVs | Inspect data,BD-15705_HARPS_RVBank_ver02.dat,BD-15705_HARPS_RVBank_ver02.csv,60.568687083333316,-15.358279722222221
BD-17751,03:53:54.5221,-16:57:15.361,,5887.0,11.16,10.52,10.516,162.66,GLS of RVs | Inspect data,BD-17751_HARPS_RVBank_ver02.dat,BD-17751_HARPS_RVBank_ver02.csv,58.47717541666666,-16.954266944444445
BD-184244,16:12:40.5144,-18:59:28.267,K0IV(e),4350.5,12.15,10.829,10.4,134.53,GLS of RVs | Inspect data,BD-184244_HARPS_RVBank_ver02.dat,BD-184244_HARPS_RVBank_ver02.csv,243.16880999999998,-18.991185277777777
BD-184532,17:27:47.0737,-18:34:54.583,,5465.7,11.39,10.67,10.424,275.29,GLS of RVs | Inspect data,BD-184532_HARPS_RVBank_ver02.dat,BD-184532_HARPS_RVBank_ver02.csv,261.94614041666665,-18.58182861111111
BD-184705,17:56:51.9898,-19:00:03.440,,4098.0,11.09,9.62,8.994,731.69,GLS of RVs | Inspect data,BD-184705_HARPS_RVBank_ver02.dat,BD-184705_HARPS_RVBank_ver02.csv,269.21662416666663,-19.000955555555556
BD-184710,17:57:03.1665,-18:59:13.932,,4253.7,10.71,9.42,8.957,721.5,GLS of RVs | Inspect data,BD-184710_HARPS_RVBank_ver02.dat,BD-184710_HARPS_RVBank_ver02.csv,269.26319374999997,-18.987203333333333
BD-194086,15:21:55.1983,-20:13:53.990,K3,4889.2,11.81,10.88,10.423,67.7,GLS of RVs | Inspect data,BD-194086_HARPS_RVBank_ver02.dat,BD-194086_HARPS_RVBank_ver02.csv,230.47999291666662,-20.23166388888889
BD-194173,15:39:25.8625,-20:11:55.770,,5857.0,11.68,11.11,10.822,269.35,GLS of RVs | Inspect data,BD-194173_HARPS_RVBank_ver02.dat,BD-194173_HARPS_RVBank_ver02.csv,234.85776041666662,-20.198825
BD-194341,16:14:13.8190,-19:39:36.250,K0IV,4963.8,10.33,9.61,9.321,163.77,GLS of RVs | Inspect data,BD-194341_HARPS_RVBank_ver02.dat,BD-194341_HARPS_RVBank_ver02.csv,243.55757916666664,-19.660069444444442
BD-194582,17:17:49.6473,-19:15:16.237,F8,,11.47,10.99,10.685,367.67,GLS of RVs | Inspect data,BD-194582_HARPS_RVBank_ver02.dat,BD-194582_HARPS_RVBank_ver02.csv,259.45686375,-19.25451027777778
BD-202976,09:39:30.0861,-20:58:56.881,F9V,5981.0,9.94,9.35,9.264,114.26,GLS of RVs | Inspect data,BD-202976_HARPS_RVBank_ver02.dat,BD-202976_HARPS_RVBank_ver02.csv,144.87535874999998,-20.982466944444443
BD-20761,04:01:32.5497,-20:27:03.911,,5333.8,11.86,11.12,10.825,116.78,GLS of RVs | Inspect data,BD-20761_HARPS_RVBank_ver02.dat,BD-20761_HARPS_RVBank_ver02.csv,60.38562374999999,-20.45108638888889
BD-21521,02:55:14.6212,-20:46:53.066,,5692.5,11.27,10.67,10.424,138.29,GLS of RVs | Inspect data,BD-21521_HARPS_RVBank_ver02.dat,BD-21521_HARPS_RVBank_ver02.csv,43.81092166666666,-20.78140722222222
BD-221092,05:22:43.9928,-21:54:04.054,,5682.1,,,10.304,119.28,GLS of RVs | Inspect data,BD-221092_HARPS_RVBank_ver02.dat,BD-221092_HARPS_RVBank_ver02.csv,80.68330333333331,-21.90112611111111
BD-22167,00:57:57.3451,-21:25:10.758,,6027.5,11.082,10.573,10.447,295.48,GLS of RVs | Inspect data,BD-22167_HARPS_RVBank_ver02.dat,BD-22167_HARPS_RVBank_ver02.csv,14.488937916666664,-21.419655000000002
BD-225866,22:14:38.3705,-21:41:53.188,M0Ve,4027.2,11.72,10.428,9.7,38.47,GLS of RVs | Inspect data,BD-225866_HARPS_RVBank_ver02.dat,BD-225866_HARPS_RVBank_ver02.csv,333.6598770833333,-21.69810777777778
CD-2312854,16:21:45.7780,-23:32:52.287,G7V,5267.5,11.63,10.8,10.538,110.18,GLS of RVs | Inspect data,CD-2312854_HARPS_RVBank_ver02.dat,CD-2312854_HARPS_RVBank_ver02.csv,245.44074166666664,-23.547857500000003
CD-234300,06:44:17.2432,-23:49:09.440,,,11.4,10.55,10.303,,GLS of RVs | Inspect data,CD-234300_HARPS_RVBank_ver02.dat,CD-234300_HARPS_RVBank_ver02.csv,101.07184666666666,-23.819288888888888
CD-236086,07:44:44.1827,-23:47:22.208,,5182.6,11.33,10.59,10.183,965.25,GLS of RVs | Inspect data,CD-236086_HARPS_RVBank_ver02.dat,CD-236086_HARPS_RVBank_ver02.csv,116.18409458333332,-23.789502222222225
CD-236099,07:44:51.2943,-23:49:39.002,,5065.5,11.31,10.21,9.913,979.24,GLS of RVs | Inspect data,CD-236099_HARPS_RVBank_ver02.dat,CD-236099_HARPS_RVBank_ver02.csv,116.21372625,-23.827500555555556
CD-2412030,15:23:32.9582,-25:22:14.669,,5550.3,10.25,9.46,9.501,85.35,GLS of RVs | Inspect data,CD-2412030_HARPS_RVBank_ver02.dat,CD-2412030_HARPS_RVBank_ver02.csv,230.8873258333333,-25.370741388888888
CD-2412897,16:52:25.2455,-24:42:08.559,,4682.5,11.52,10.39,10.09,561.36,GLS of RVs | Inspect data,CD-2412897_HARPS_RVBank_ver02.dat,CD-2412897_HARPS_RVBank_ver02.csv,253.1051895833333,-24.7023775
CD-2510553,14:49:33.2547,-26:06:20.813,M1.5V,,13.11,11.62,10.795,20.72,GLS of RVs | Inspect data,CD-2510553_HARPS_RVBank_ver02.dat,CD-2510553_HARPS_RVBank_ver02.csv,222.38856124999995,-26.10578138888889
CD-2514757,20:25:18.9069,-24:48:45.506,,5572.0,11.65,10.9,10.644,120.22,GLS of RVs | Inspect data,CD-2514757_HARPS_RVBank_ver02.dat,CD-2514757_HARPS_RVBank_ver02.csv,306.32877874999997,-24.812640555555557
CD-2516399,23:19:27.1008,-24:53:13.239,,5907.0,11.194,10.63,10.502,159.88,GLS of RVs | Inspect data,CD-2516399_HARPS_RVBank_ver02.dat,CD-2516399_HARPS_RVBank_ver02.csv,349.86292,-24.88701083333333
CD-251737,04:07:45.8606,-25:12:31.231,,5597.4,11.1,10.38,10.235,239.07,GLS of RVs | Inspect data,CD-251737_HARPS_RVBank_ver02.dat,CD-251737_HARPS_RVBank_ver02.csv,61.94108583333332,-25.208675277777775
CD-252180,05:03:14.7820,-25:22:41.497,,4902.2,11.37,10.32,10.118,312.07,GLS of RVs | Inspect data,CD-252180_HARPS_RVBank_ver02.dat,CD-252180_HARPS_RVBank_ver02.csv,75.81159166666664,-25.37819361111111
CD-252913,06:05:19.8393,-25:05:37.688,,3305.0,11.63,9.92,8.495,1444.25,GLS of RVs | Inspect data,CD-252913_HARPS_RVBank_ver02.dat,CD-252913_HARPS_RVBank_ver02.csv,91.33266374999998,-25.09380222222222
CD-254246,07:14:11.2252,-25:46:15.779,,5016.2,11.928,11.001,10.781,1648.19,GLS of RVs | Inspect data,CD-254246_HARPS_RVBank_ver02.dat,CD-254246_HARPS_RVBank_ver02.csv,108.54677166666666,-25.771049722222223
CD-254253,07:14:24.2872,-25:41:30.473,,4907.0,12.86,11.73,11.429,1247.82,GLS of RVs | Inspect data,CD-254253_HARPS_RVBank_ver02.dat,CD-254253_HARPS_RVBank_ver02.csv,108.60119666666665,-25.691798055555555
CD-261407,03:44:01.2458,-26:32:15.282,,6250.2,11.377,10.86,10.773,298.43,GLS of RVs | Inspect data,CD-261407_HARPS_RVBank_ver02.dat,CD-261407_HARPS_RVBank_ver02.csv,56.00519083333333,-26.537578333333336
CD-2616866B,00:00:09.8310,-25:19:20.935,,6165.3,9.913,9.442,9.914,294.77,GLS of RVs | Inspect data,CD-2616866B_HARPS_RVBank_ver02.dat,CD-2616866B_HARPS_RVBank_ver02.csv,0.0409625,-25.322481944444444
CD-2616866,00:00:09.7173,-25:19:29.285,,5998.0,9.913,9.442,9.857,285.84,GLS of RVs | Inspect data,CD-2616866_HARPS_RVBank_ver02.dat,CD-2616866_HARPS_RVBank_ver02.csv,0.04048874999999999,-25.32480138888889
CD-281745,04:47:22.6810,-27:50:29.311,M0V,4055.0,11.45,10.07,9.257,15.67,GLS of RVs | Inspect data,CD-281745_HARPS_RVBank_ver02.dat,CD-281745_HARPS_RVBank_ver02.csv,71.84450416666667,-27.841475277777775
CD-287411,09:34:40.4577,-29:00:33.593,,5624.8,10.95,10.39,10.171,101.59,GLS of RVs | Inspect data,CD-287411_HARPS_RVBank_ver02.dat,CD-287411_HARPS_RVBank_ver02.csv,143.66857374999998,-29.00933138888889
CD-287935,10:08:33.5451,-29:35:57.554,,7343.6,11.1,10.6,10.652,754.32,GLS of RVs | Inspect data,CD-287935_HARPS_RVBank_ver02.dat,CD-287935_HARPS_RVBank_ver02.csv,152.13977124999997,-29.599320555555554
CD-3010313,13:05:05.7950,-31:26:12.198,,5536.2,,9.8,11.953,405.91,GLS of RVs | Inspect data,CD-3010313_HARPS_RVBank_ver02.dat,CD-3010313_HARPS_RVBank_ver02.csv,196.2741458333333,-31.436721666666667
CD-301812,04:25:29.0166,-30:36:01.610,F5,6632.0,10.45,10.04,9.978,246.59,GLS of RVs | Inspect data,CD-301812_HARPS_RVBank_ver02.dat,CD-301812_HARPS_RVBank_ver02.csv,66.3709025,-30.600447222222222
CD-3019757,23:58:14.7744,-29:36:29.986,,6273.0,11.29,10.81,10.6,289.63,GLS of RVs | Inspect data,CD-3019757_HARPS_RVBank_ver02.dat,CD-3019757_HARPS_RVBank_ver02.csv,359.56156,-29.608329444444447
CD-306011,08:18:19.1769,-30:32:58.432,G5,4810.1,11.98,10.87,10.413,1727.71,GLS of RVs | Inspect data,CD-306011_HARPS_RVBank_ver02.dat,CD-306011_HARPS_RVBank_ver02.csv,124.57990374999999,-30.549564444444446
CD-306015,08:18:26.4379,-30:39:30.378,,4777.4,12.24,11.14,10.842,1684.07,GLS of RVs | Inspect data,CD-306015_HARPS_RVBank_ver02.dat,CD-306015_HARPS_RVBank_ver02.csv,124.61015791666668,-30.658438333333333
CD-3110766,13:55:42.7120,-32:09:34.616,F7,6434.0,11.396,10.91,10.798,282.4,GLS of RVs | Inspect data,CD-3110766_HARPS_RVBank_ver02.dat,CD-3110766_HARPS_RVBank_ver02.csv,208.92796666666663,-32.159615555555554
CD-3114532,17:46:42.21,-31:27:35.2,,,11.85,10.69,,,GLS of RVs | Inspect data,CD-3114532_HARPS_RVBank_ver02.dat,CD-3114532_HARPS_RVBank_ver02.csv,266.6758749999999,-31.459777777777777
CD-3114549,17:47:04.1142,-31:33:20.504,,4436.7,12.009,10.788,10.345,1033.38,GLS of RVs | Inspect data,CD-3114549_HARPS_RVBank_ver02.dat,CD-3114549_HARPS_RVBank_ver02.csv,266.7671425,-31.555695555555555
CD-312415,05:23:25.2028,-31:16:34.982,,4780.3,11.583,10.545,10.299,865.56,GLS of RVs | Inspect data,CD-312415_HARPS_RVBank_ver02.dat,CD-312415_HARPS_RVBank_ver02.csv,80.85501166666667,-31.276383888888887
CD-321952,04:43:59.4210,-31:54:23.401,,5731.0,11.2,10.51,10.441,148.98,GLS of RVs | Inspect data,CD-321952_HARPS_RVBank_ver02.dat,CD-321952_HARPS_RVBank_ver02.csv,70.9975875,-31.906500277777777
CD-329927,14:11:46.3227,-33:03:14.373,A4,7337.3,10.793,10.444,10.392,378.91,GLS of RVs | Inspect data,CD-329927_HARPS_RVBank_ver02.dat,CD-329927_HARPS_RVBank_ver02.csv,212.94301124999998,-33.0539925
CD-3315536,21:22:57.8575,-32:29:17.104,,5938.6,11.24,10.62,10.584,169.49,GLS of RVs | Inspect data,CD-3315536_HARPS_RVBank_ver02.dat,CD-3315536_HARPS_RVBank_ver02.csv,320.74107291666667,-32.488084444444446
