toi,name,exofop_url,harps_url
TOI0404,WASP-98,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0404,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-98_RVs/WASP-98_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0413,CD-301812,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0413,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-301812_RVs/CD-301812_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0415,CD-461323,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0415,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-461323_RVs/CD-461323_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0418,BD-20761,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0418,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-20761_RVs/BD-20761_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0421,BD-141137,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0421,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-141137_RVs/BD-141137_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0423,WASP-35,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0423,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-35_RVs/WASP-35_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0431,HIP26013,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0431,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HIP26013_RVs/HIP26013_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0439,WASP-61,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0439,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-61_RVs/WASP-61_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0447,HD33512,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0447,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD33512_RVs/HD33512_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0449,TYC5889-271-1,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0449,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC5889-271-1_RVs/TYC5889-271-1_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0451,CD-381467,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0451,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-381467_RVs/CD-381467_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0455,GJ3193,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0455,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ3193_RVs/GJ3193_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0461,HD15906,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0461,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD15906_RVs/HD15906_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0465,WASP-156,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0465,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-156_RVs/WASP-156_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0468,HATS-6,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0468,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HATS-6_RVs/HATS-6_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0469,HD42813,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0469,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD42813_RVs/HD42813_HARPS_RVBank_ver02_rvsonly.dat&run
