COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1304-3532,196.043154,-35.54957,0.999972,3.78211e-07,6.913289999999999e-07,115000.0,43.5,57449.26753229,57449.27910634,ivo://eso.org/origfile?HARPS.2016-03-02T06:25:14.790_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.120&eso_download=file,ADP.2016-03-03T01:03:20.120
HARPS,SW1304-3532,196.042637,-35.55016,0.999972,3.78211e-07,6.913289999999999e-07,115000.0,44.0,57449.29139272,57449.30296677,ivo://eso.org/origfile?HARPS.2016-03-02T06:59:36.331_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.080&eso_download=file,ADP.2016-03-03T01:03:20.080
HARPS,SW1304-3532,196.042941,-35.55013,0.999972,3.78211e-07,6.91327e-07,115000.0,44.6,57449.30332311,57449.31489716,ivo://eso.org/origfile?HARPS.2016-03-02T07:16:47.117_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:19.810&eso_download=file,ADP.2016-03-03T01:03:19.810
HARPS,SW1304-3532,196.043359,-35.55026,0.999972,3.78211e-07,6.913289999999999e-07,115000.0,46.4,57449.23174008,57449.24331413,ivo://eso.org/origfile?HARPS.2016-03-02T05:33:42.343_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:19.893&eso_download=file,ADP.2016-03-03T01:03:19.893
HARPS,SW1304-3532,196.0432,-35.5501,0.999972,3.78211e-07,6.91327e-07,115000.0,44.2,57449.31525385,57449.3268279,ivo://eso.org/origfile?HARPS.2016-03-02T07:33:57.933_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.040&eso_download=file,ADP.2016-03-03T01:03:20.040
HARPS,SW1304-3532,196.042963,-35.55008,0.999972,3.78211e-07,6.913289999999999e-07,115000.0,43.8,57449.24367012,57449.25524417,ivo://eso.org/origfile?HARPS.2016-03-02T05:50:53.098_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.100&eso_download=file,ADP.2016-03-03T01:03:20.100
HARPS,SW1304-3532,196.04281,-35.55037,0.999972,3.78212e-07,6.913289999999999e-07,115000.0,49.4,57449.27946303,57449.29103708,ivo://eso.org/origfile?HARPS.2016-03-02T06:42:25.606_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.127&eso_download=file,ADP.2016-03-03T01:03:20.127
HARPS,SW1304-3532,196.043168,-35.55003,0.999972,3.78211e-07,6.91327e-07,115000.0,42.3,57449.33911845,57449.3506925,ivo://eso.org/origfile?HARPS.2016-03-02T08:08:19.834_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.147&eso_download=file,ADP.2016-03-03T01:03:20.147
HARPS,SW1304-3532,196.042954,-35.5498,0.999972,3.78211e-07,6.913289999999999e-07,115000.0,49.0,57449.25560202,57449.26717607,ivo://eso.org/origfile?HARPS.2016-03-02T06:08:04.015_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.153&eso_download=file,ADP.2016-03-03T01:03:20.153
HARPS,SW1304-3532,196.04306,-35.55025,0.999972,3.78211e-07,6.91327e-07,115000.0,48.1,57449.3510493,57449.36262335,ivo://eso.org/origfile?HARPS.2016-03-02T08:25:30.660_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:20.220&eso_download=file,ADP.2016-03-03T01:03:20.220
