COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1355-3209,208.93151,-32.15821,0.999972,3.78149e-07,6.91289e-07,115000.0,22.2,54948.22344833,54948.22807796,ivo://eso.org/origfile?HARPS.2009-04-27T05:21:45.936_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:00.930&eso_download=file,ADP.2014-09-23T11:01:00.930
HARPS,SW1355-3209,208.93136,-32.15872,0.999972,3.7815e-07,6.91289e-07,115000.0,24.4,54948.12273123,54948.12736086,ivo://eso.org/origfile?HARPS.2009-04-27T02:56:43.978_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:36.247&eso_download=file,ADP.2014-09-23T11:01:36.247
HARPS,SW1355-3209,208.93169,-32.15814,0.999972,3.78149e-07,6.91289e-07,115000.0,23.6,54948.14790436,54948.15253399,ivo://eso.org/origfile?HARPS.2009-04-27T03:32:58.937_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:41.110&eso_download=file,ADP.2014-09-23T11:01:41.110
HARPS,SW1355-3209,208.93185,-32.15912,0.999972,3.78152e-07,6.91289e-07,115000.0,26.3,54948.09759153,54948.10222116,ivo://eso.org/origfile?HARPS.2009-04-27T02:20:31.908_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:47.227&eso_download=file,ADP.2014-09-23T11:01:47.227
HARPS,SW1355-3209,208.93215,-32.15902,0.999972,3.7815e-07,6.91289e-07,115000.0,25.9,54948.08752293,54948.09215256,ivo://eso.org/origfile?HARPS.2009-04-27T02:06:01.981_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:59.380&eso_download=file,ADP.2014-09-23T11:01:59.380
HARPS,SW1355-3209,208.9313,-32.15845,0.999972,3.78152e-07,6.91289e-07,115000.0,24.7,54948.23351809,54948.23814772,ivo://eso.org/origfile?HARPS.2009-04-27T05:36:15.963_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:35.103&eso_download=file,ADP.2014-09-23T11:02:35.103
HARPS,SW1355-3209,208.93129,-32.15887,0.999972,3.78149e-07,6.91288e-07,115000.0,24.6,54948.24358821,54948.24821784,ivo://eso.org/origfile?HARPS.2009-04-27T05:50:46.021_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:51.897&eso_download=file,ADP.2014-09-23T11:02:51.897
HARPS,SW1355-3209,208.9312,-32.15922,0.999972,3.78149e-07,6.91288e-07,115000.0,28.4,54948.25481486,54948.2617593,ivo://eso.org/origfile?HARPS.2009-04-27T06:06:56.004_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:59.423&eso_download=file,ADP.2014-09-23T11:02:59.423
HARPS,SW1355-3209,208.93126,-32.1598,0.999972,3.78149e-07,6.91288e-07,115000.0,24.0,54948.26953743,54948.27648187,ivo://eso.org/origfile?HARPS.2009-04-27T06:28:08.034_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:05.697&eso_download=file,ADP.2014-09-23T11:03:05.697
HARPS,SW1355-3209,208.93149,-32.15832,0.999972,3.78149e-07,6.91289e-07,115000.0,25.0,54948.13783611,54948.14246574,ivo://eso.org/origfile?HARPS.2009-04-27T03:18:29.040_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:21.503&eso_download=file,ADP.2014-09-23T11:03:21.503
HARPS,SW1355-3209,208.93238,-32.15891,0.999972,3.7815e-07,6.91289e-07,115000.0,25.4,54948.07745374,54948.08208337,ivo://eso.org/origfile?HARPS.2009-04-27T01:51:32.003_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:24.617&eso_download=file,ADP.2014-09-23T11:03:24.617
HARPS,SW1355-3209,208.93155,-32.1581,0.999972,3.78149e-07,6.91289e-07,115000.0,24.0,54948.21841553,54948.22304516,ivo://eso.org/origfile?HARPS.2009-04-27T05:14:31.102_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:29.667&eso_download=file,ADP.2014-09-23T11:03:29.667
HARPS,SW1355-3209,208.93177,-32.15805,0.999972,3.78151e-07,6.91289e-07,115000.0,23.4,54948.15294005,54948.15756968,ivo://eso.org/origfile?HARPS.2009-04-27T03:40:14.020_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:38.617&eso_download=file,ADP.2014-09-23T11:03:38.617
HARPS,SW1355-3209,208.93111,-32.15949,0.999972,3.78149e-07,6.91288e-07,115000.0,25.0,54948.2621758,54948.26912024,ivo://eso.org/origfile?HARPS.2009-04-27T06:17:31.989_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:46.793&eso_download=file,ADP.2014-09-23T11:03:46.793
HARPS,SW1355-3209,208.93166,-32.15911,0.999972,3.7815e-07,6.91289e-07,115000.0,25.6,54948.1026263,54948.10725593,ivo://eso.org/origfile?HARPS.2009-04-27T02:27:46.912_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:24.307&eso_download=file,ADP.2014-09-23T11:04:24.307
HARPS,SW1355-3209,208.93147,-32.15831,0.999972,3.78149e-07,6.91289e-07,115000.0,23.1,54948.22848298,54948.23311261,ivo://eso.org/origfile?HARPS.2009-04-27T05:29:00.929_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:24.713&eso_download=file,ADP.2014-09-23T11:04:24.713
HARPS,SW1355-3209,208.932,-32.15909,0.999972,3.78152e-07,6.91289e-07,115000.0,25.0,54948.09255596,54948.09718559,ivo://eso.org/origfile?HARPS.2009-04-27T02:13:16.835_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:31.540&eso_download=file,ADP.2014-09-23T11:04:31.540
HARPS,SW1355-3209,208.93131,-32.15867,0.999972,3.7815e-07,6.91288e-07,115000.0,24.7,54948.23855297,54948.2431826,ivo://eso.org/origfile?HARPS.2009-04-27T05:43:30.977_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:32.467&eso_download=file,ADP.2014-09-23T11:04:32.467
HARPS,SW1355-3209,208.93155,-32.15904,0.999972,3.78151e-07,6.91289e-07,115000.0,24.9,54948.10762241,54948.11225204,ivo://eso.org/origfile?HARPS.2009-04-27T02:34:58.576_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:41.530&eso_download=file,ADP.2014-09-23T11:04:41.530
HARPS,SW1355-3209,208.93232,-32.15899,0.999972,3.7815e-07,6.91289e-07,115000.0,26.1,54948.08248804,54948.08711767,ivo://eso.org/origfile?HARPS.2009-04-27T01:58:46.967_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:57.703&eso_download=file,ADP.2014-09-23T11:04:57.703
HARPS,SW1355-3209,208.93128,-32.159,0.999972,3.78149e-07,6.91288e-07,115000.0,26.8,54948.24862309,54948.25441013,ivo://eso.org/origfile?HARPS.2009-04-27T05:58:01.035_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:39.900&eso_download=file,ADP.2014-09-23T11:05:39.900
HARPS,SW1355-3209,208.93139,-32.15881,0.999972,3.78151e-07,6.91289e-07,115000.0,25.5,54948.117696,54948.12232563,ivo://eso.org/origfile?HARPS.2009-04-27T02:49:28.934_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:43.243&eso_download=file,ADP.2014-09-23T11:05:43.243
HARPS,SW1355-3209,208.93146,-32.15896,0.999972,3.7815e-07,6.91289e-07,115000.0,24.9,54948.11266112,54948.11729075,ivo://eso.org/origfile?HARPS.2009-04-27T02:42:13.921_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:43.740&eso_download=file,ADP.2014-09-23T11:05:43.740
HARPS,SW1355-3209,208.93142,-32.15843,0.999972,3.78149e-07,6.91289e-07,115000.0,24.6,54948.1328012,54948.13743083,ivo://eso.org/origfile?HARPS.2009-04-27T03:11:14.024_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:53.730&eso_download=file,ADP.2014-09-23T11:05:53.730
HARPS,WASP-15b,208.927932,-32.16031,0.999972,3.78153e-07,6.91217e-07,115000.0,37.2,58324.04635876,58324.06719207,ivo://eso.org/origfile?HARPS.2018-07-25T01:06:45.397_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-07-26T01:02:10.225&eso_download=file,ADP.2018-07-26T01:02:10.225
HARPS,WASP-15b,208.927727,-32.16141,0.999972,3.78152e-07,6.91217e-07,115000.0,31.6,58324.07153595,58324.09236926,ivo://eso.org/origfile?HARPS.2018-07-25T01:43:00.706_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-07-26T01:02:10.227&eso_download=file,ADP.2018-07-26T01:02:10.227
HARPS,Tchoubidoo3,208.93025,-32.15677,0.999972,3.78114e-07,6.91226e-07,115000.0,46.4,54656.99252453,54657.0341912,ivo://eso.org/origfile?HARPS.2008-07-09T23:49:14.119_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-18T12:12:31.390&eso_download=file,ADP.2014-09-18T12:12:31.390
HARPS,SW1355-3209,208.93251,-32.15867,0.999972,3.78151e-07,6.91289e-07,115000.0,25.6,54948.06738409,54948.07201372,ivo://eso.org/origfile?HARPS.2009-04-27T01:37:01.985_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:00:57.597&eso_download=file,ADP.2014-09-23T11:00:57.597
HARPS,SW1355-3209,208.93177,-32.15795,0.999972,3.78149e-07,6.91289e-07,115000.0,24.7,54948.19827993,54948.20290956,ivo://eso.org/origfile?HARPS.2009-04-27T04:45:31.386_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:19.923&eso_download=file,ADP.2014-09-23T11:01:19.923
HARPS,SW1355-3209,208.93189,-32.15797,0.999972,3.78149e-07,6.91289e-07,115000.0,24.2,54948.19323035,54948.19785998,ivo://eso.org/origfile?HARPS.2009-04-27T04:38:15.102_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:25.743&eso_download=file,ADP.2014-09-23T11:01:25.743
HARPS,SW1355-3209,208.9318,-32.15795,0.999972,3.78151e-07,6.91289e-07,115000.0,20.9,54948.16300126,54948.16763089,ivo://eso.org/origfile?HARPS.2009-04-27T03:54:43.309_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:39.580&eso_download=file,ADP.2014-09-23T11:01:39.580
HARPS,SW1355-3209,208.93006,-32.15784,0.999972,3.78153e-07,6.91291e-07,115000.0,55.3,54947.04764498,54947.06847831,ivo://eso.org/origfile?HARPS.2009-04-26T01:08:36.526_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:58.053&eso_download=file,ADP.2014-09-23T11:01:58.053
HARPS,SW1355-3209,208.93238,-32.15835,0.999972,3.78152e-07,6.91291e-07,115000.0,23.9,54948.05731444,54948.06194407,ivo://eso.org/origfile?HARPS.2009-04-27T01:22:31.968_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:06.293&eso_download=file,ADP.2014-09-23T11:02:06.293
HARPS,SW1355-3209,208.93195,-32.15787,0.999972,3.78149e-07,6.91289e-07,115000.0,24.7,54948.18315815,54948.18778778,ivo://eso.org/origfile?HARPS.2009-04-27T04:23:44.864_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:32.567&eso_download=file,ADP.2014-09-23T11:02:32.567
HARPS,SW1355-3209,208.93257,-32.1588,0.999972,3.7815e-07,6.91289e-07,115000.0,24.9,54948.07241723,54948.07704686,ivo://eso.org/origfile?HARPS.2009-04-27T01:44:16.849_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:34.280&eso_download=file,ADP.2014-09-23T11:02:34.280
HARPS,SW1355-3209,208.93181,-32.15802,0.999972,3.78151e-07,6.91289e-07,115000.0,22.6,54948.15796303,54948.16259266,ivo://eso.org/origfile?HARPS.2009-04-27T03:47:28.006_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:56.200&eso_download=file,ADP.2014-09-23T11:02:56.200
HARPS,SW1355-3209,208.92764,-32.15828,0.999972,3.7815e-07,6.91289e-07,115000.0,56.6,54949.03699526,54949.05782859,ivo://eso.org/origfile?HARPS.2009-04-28T00:53:16.390_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:58.620&eso_download=file,ADP.2014-09-23T11:02:58.620
HARPS,SW1355-3209,208.93204,-32.16041,0.999972,3.7815e-07,6.91287e-07,115000.0,55.6,54949.2879565,54949.30878983,ivo://eso.org/origfile?HARPS.2009-04-28T06:54:39.442_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:16.297&eso_download=file,ADP.2014-09-23T11:03:16.297
HARPS,SW1355-3209,208.93166,-32.15801,0.999972,3.78149e-07,6.91289e-07,115000.0,23.8,54948.20834402,54948.21297365,ivo://eso.org/origfile?HARPS.2009-04-27T05:00:00.923_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:35.537&eso_download=file,ADP.2014-09-23T11:03:35.537
HARPS,SW1355-3209,208.93078,-32.15817,0.999972,3.7815e-07,6.91291e-07,115000.0,25.3,54948.04724664,54948.05187627,ivo://eso.org/origfile?HARPS.2009-04-27T01:08:02.110_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:10.743&eso_download=file,ADP.2014-09-23T11:04:10.743
HARPS,SW1355-3209,208.93195,-32.15789,0.999972,3.78149e-07,6.91289e-07,115000.0,24.7,54948.17812072,54948.18275035,ivo://eso.org/origfile?HARPS.2009-04-27T04:16:29.630_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:11.123&eso_download=file,ADP.2014-09-23T11:04:11.123
HARPS,SW1355-3209,208.92636,-32.15838,0.999972,3.7815e-07,6.91291e-07,115000.0,31.2,54948.03368872,54948.04063316,ivo://eso.org/origfile?HARPS.2009-04-27T00:48:30.705_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:11.840&eso_download=file,ADP.2014-09-23T11:04:11.840
HARPS,SW1355-3209,208.93163,-32.15802,0.999972,3.7815e-07,6.91289e-07,115000.0,24.0,54948.21338018,54948.21800981,ivo://eso.org/origfile?HARPS.2009-04-27T05:07:16.048_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:14.990&eso_download=file,ADP.2014-09-23T11:04:14.990
