COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS777-021,280.184767,-58.45902,0.999972,3.7818799999999997e-07,6.913419999999999e-07,115000.0,11.6,57120.28670235,57120.2936468,ivo://eso.org/origfile?HARPS.2015-04-08T06:52:51.083_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:54.423&eso_download=file,ADP.2015-04-15T08:03:54.423
HARPS,HATS777-021,280.184952,-58.45944,0.999972,3.7819200000000003e-07,6.913419999999999e-07,115000.0,8.0,57118.28434344,57118.29823233,ivo://eso.org/origfile?HARPS.2015-04-06T06:49:27.273_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:54.937&eso_download=file,ADP.2015-04-15T08:03:54.937
HARPS,HATS777-021,280.182875,-58.46059,0.999972,3.78158e-07,6.912269999999999e-07,115000.0,11.1,57281.0503808,57281.06079745,ivo://eso.org/origfile?HARPS.2015-09-16T01:12:32.901_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-09-17T02:00:43.270&eso_download=file,ADP.2015-09-17T02:00:43.270
