COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS699-039,189.296178,-42.41426,0.999972,3.78209e-07,6.91325e-07,115000.0,12.2,58178.23424032,58178.25160141,ivo://eso.org/origfile?HARPS.2018-03-01T05:37:18.364_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-03-02T01:01:33.765&eso_download=file,ADP.2018-03-02T01:01:33.765
HARPS,HATS699-039,189.297088,-42.41466,0.999972,3.7820800000000005e-07,6.91323e-07,115000.0,17.2,58179.23669549,58179.25405658,ivo://eso.org/origfile?HARPS.2018-03-02T05:40:50.490_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-03-03T01:01:38.031&eso_download=file,ADP.2018-03-03T01:01:38.031
HARPS,HATS699-039,189.294167,-42.41501,0.999972,3.7820499999999996e-07,6.91322e-07,115000.0,14.4,58180.39429224,58180.41165333,ivo://eso.org/origfile?HARPS.2018-03-03T09:27:46.850_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-03-04T01:01:47.999&eso_download=file,ADP.2018-03-04T01:01:47.999
