COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS747-032,294.631648,-55.33222,0.999972,3.7819099999999995e-07,6.91345e-07,115000.0,13.6,57118.39893387,57118.40587833,ivo://eso.org/origfile?HARPS.2015-04-06T09:34:27.886_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:56.277&eso_download=file,ADP.2015-04-15T08:03:56.277
HARPS,HATS747-032,294.634675,-55.32986,0.999972,3.78187e-07,6.91345e-07,115000.0,10.6,57119.35609007,57119.36303451,ivo://eso.org/origfile?HARPS.2015-04-07T08:32:46.182_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:54.437&eso_download=file,ADP.2015-04-15T08:03:54.437
HARPS,HATS747-032,294.631078,-55.33219,0.999972,3.7819099999999995e-07,6.91345e-07,115000.0,16.1,57120.39204205,57120.39898649,ivo://eso.org/origfile?HARPS.2015-04-08T09:24:32.433_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:53.650&eso_download=file,ADP.2015-04-15T08:03:53.650
