COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1430-4609,217.60756,-46.15926,0.999972,3.78171e-07,6.913e-07,115000.0,15.5,57141.2097999,57141.22021658,ivo://eso.org/origfile?HARPS.2015-04-29T05:02:06.711_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-30T06:11:42.270&eso_download=file,ADP.2015-04-30T06:11:42.270
HARPS,SW1430-4609,217.608353,-46.15881,0.999972,3.7817399999999996e-07,6.91305e-07,115000.0,12.9,57135.25428096,57135.26469763,ivo://eso.org/origfile?HARPS.2015-04-23T06:06:09.875_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-27T08:05:47.897&eso_download=file,ADP.2015-04-27T08:05:47.897
HARPS,SW1430-4609,217.606709,-46.1591,0.999972,3.78168e-07,6.91304e-07,115000.0,12.4,57138.22832722,57138.23874389,ivo://eso.org/origfile?HARPS.2015-04-26T05:28:47.472_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-26T23:55:38.273&eso_download=file,ADP.2015-04-26T23:55:38.273
HARPS,SW1430-4609,217.605678,-46.16016,0.999972,3.78161e-07,6.91238e-07,115000.0,16.1,57204.05445127,57204.06486792,ivo://eso.org/origfile?HARPS.2015-07-01T01:18:24.590_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-07-01T23:55:37.980&eso_download=file,ADP.2015-07-01T23:55:37.980
HARPS,SW1430-4609,217.605907,-46.16283,0.999972,3.7816000000000005e-07,6.91237e-07,115000.0,16.1,57204.18543802,57204.19585467,ivo://eso.org/origfile?HARPS.2015-07-01T04:27:01.845_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-07-01T23:55:38.527&eso_download=file,ADP.2015-07-01T23:55:38.527
HARPS,SW1430-4609,217.60811,-46.1619,0.999972,3.78182e-07,6.91274e-07,115000.0,13.1,57526.32418521,57526.33460186,ivo://eso.org/origfile?HARPS.2016-05-18T07:46:49.602_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-05-19T01:03:57.047&eso_download=file,ADP.2016-05-19T01:03:57.047
HARPS,SW1430-4609,217.610858,-46.16265,0.999972,3.78164e-07,6.9124e-07,115000.0,14.1,57200.18147139,57200.19188804,ivo://eso.org/origfile?HARPS.2015-06-27T04:21:19.128_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-07-01T08:16:53.937&eso_download=file,ADP.2015-07-01T08:16:53.937
HARPS,SW1430-4609,217.610237,-46.16305,0.999972,3.78168e-07,6.91238e-07,115000.0,14.4,57203.18931457,57203.20320344,ivo://eso.org/origfile?HARPS.2015-06-30T04:32:36.779_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-06-30T23:55:34.570&eso_download=file,ADP.2015-06-30T23:55:34.570
HARPS,SW1430-4609,217.609807,-46.16342,0.999972,3.78184e-07,6.91278e-07,115000.0,8.7,57522.35776429,57522.36818094,ivo://eso.org/origfile?HARPS.2016-05-14T08:35:10.835_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-05-17T12:38:36.017&eso_download=file,ADP.2016-05-17T12:38:36.017
HARPS,SW1430-4609,217.610895,-46.15942,0.999972,3.78158e-07,6.91283e-07,115000.0,15.0,57158.20440596,57158.21482263,ivo://eso.org/origfile?HARPS.2015-05-16T04:54:20.675_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-05-16T23:55:39.780&eso_download=file,ADP.2015-05-16T23:55:39.780
